City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alta floresta,-9.8756,-56.0861,300.42,75,77,0.75,BR,1674413775
1,port alfred,-33.5906,26.891,294.36,95,100,0.9,ZA,1674413775
2,tautira,-17.7333,-149.15,299.59,73,100,4.79,PF,1674413776
3,talnakh,69.4865,88.3972,249.61,81,98,2.11,RU,1674413776
4,mataura,-46.1927,168.8643,283.2,66,71,1.18,NZ,1674413777
5,albany,42.6001,-73.9662,274.79,74,100,0.45,US,1674413729
6,acapulco,16.8634,-99.8901,304.05,42,0,2.57,MX,1674413612
7,hermanus,-34.4187,19.2345,295.26,70,44,6.1,ZA,1674413655
8,lokosovo,61.1333,74.8167,263.95,96,99,2.6,RU,1674413778
9,salamanca,40.8333,-6.0,274.03,56,91,3.36,ES,1674413778
10,nanortalik,60.1432,-45.2371,266.38,60,3,2.48,GL,1674413779
11,cap malheureux,-19.9842,57.6142,298.97,79,100,4.15,MU,1674413779
12,qaanaaq,77.484,-69.3632,241.12,77,99,2.63,GL,1674413780
13,yellowknife,62.456,-114.3525,257.44,85,75,3.09,CA,1674413761
14,punta arenas,-53.15,-70.9167,289.21,31,0,6.69,CL,1674413781
15,rikitea,-23.1203,-134.9692,299.51,75,0,7.6,PF,1674413781
16,busselton,-33.65,115.3333,291.15,86,0,4.19,AU,1674413782
17,pryozerne,45.2698,36.3303,277.62,85,13,4.1,UA,1674413782
18,evensk,61.95,159.2333,257.11,88,100,9.67,RU,1674413783
19,luderitz,-26.6481,15.1594,293.23,79,0,10.12,NA,1674413783
20,redmond,47.674,-122.1215,278.9,92,100,0.98,US,1674413711
21,ushuaia,-54.8,-68.3,286.96,38,0,4.63,AR,1674413519
22,mingguang,32.7802,117.9638,276.67,91,54,1.87,CN,1674413784
23,kapaa,22.0752,-159.319,295.33,93,75,0.89,US,1674413784
24,jambi,-1.6,103.6167,296.21,97,96,1.25,ID,1674413785
25,launceston,-41.45,147.1667,286.01,89,1,1.54,AU,1674413785
26,saskylakh,71.9167,114.0833,238.52,86,100,1.21,RU,1674413786
27,sinnai,39.3042,9.2036,278.41,76,0,2.57,IT,1674413786
28,atuona,-9.8,-139.0333,299.18,78,76,10.32,PF,1674413787
29,nikolskoye,59.7035,30.7861,269.09,97,72,1.7,RU,1674413787
30,hobart,-42.8794,147.3294,287.62,91,11,0.0,AU,1674413491
31,klaksvik,62.2266,-6.589,279.66,66,98,10.52,FO,1674413788
